dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made,traditional_summary,scm_summary,scd_summary
P4G,20180717-200206_41_live,0,ER,valid,"Hey, how are you doing, have you ever heard of a charity called Save the Children?",Initiate conversation and introduce the topic of a charity,0.5,1,"ER asked EE if they had heard of the charity ""Save the Children."" EE responded that they hadn't and asked for more information about it.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and shows interest in discussing a charity, indicating a warm and approachable demeanor. The ability to introduce a specific organization suggests competence in the topic.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds politely and shows curiosity by asking for more information, reflecting high warmth. However, the lack of prior knowledge about the charity suggests lower competence in this specific context.","The conversation begins with ER initiating a friendly inquiry about EE's well-being before introducing the topic of a charity. EE responds with curiosity, expressing unfamiliarity with the organization and prompting ER for more information. The interaction is characterized by a polite and open exchange, with EE showing interest in learning more, setting the stage for ER to provide further details about the charity."
P4G,20180717-200206_41_live,1,EE,valid,No I havent.,Respond to the question and indicate lack of knowledge about the charity,0.5,1,"ER asked EE if they had heard of the charity ""Save the Children."" EE responded that they hadn't and asked for more information about it.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and shows interest in discussing a charity, indicating a warm and approachable demeanor. The ability to introduce a specific organization suggests competence in the topic.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds politely and shows curiosity by asking for more information, reflecting high warmth. However, the lack of prior knowledge about the charity suggests lower competence in this specific context.","The conversation begins with ER initiating a friendly inquiry about EE's well-being before introducing the topic of a charity. EE responds with curiosity, expressing unfamiliarity with the organization and prompting ER for more information. The interaction is characterized by a polite and open exchange, with EE showing interest in learning more, setting the stage for ER to provide further details about the charity."
P4G,20180717-200206_41_live,2,EE,valid,What is it about?,Request more information about the charity,0.5,1,"ER asked EE if they had heard of the charity ""Save the Children."" EE responded that they hadn't and asked for more information about it.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation with a friendly greeting and shows interest in discussing a charity, indicating a warm and approachable demeanor. The ability to introduce a specific organization suggests competence in the topic.

user2 (EE):
  warmth: high
  competence: low
  explanation: EE responds politely and shows curiosity by asking for more information, reflecting high warmth. However, the lack of prior knowledge about the charity suggests lower competence in this specific context.","The conversation begins with ER initiating a friendly inquiry about EE's well-being before introducing the topic of a charity. EE responds with curiosity, expressing unfamiliarity with the organization and prompting ER for more information. The interaction is characterized by a polite and open exchange, with EE showing interest in learning more, setting the stage for ER to provide further details about the charity."
P4G,20180719-120436_413_live,0,ER,train,Hi there,Greeting the other person,0.0,0,"The conversation is between two people, ER and EE. ER greets EE and asks if they have heard of the Save the Children charity. EE responds that they have not heard of it.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and introduces a topic related to charity, indicating a positive and engaging demeanor. Their ability to introduce a specific organization suggests a level of knowledge and competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely with a greeting, showing openness and friendliness. However, their admission of not knowing about the charity suggests a lower level of competence regarding the specific topic introduced by User1.","The conversation begins with a friendly greeting and quickly shifts to an informative tone as ER introduces a topic unfamiliar to EE. ER appears intent on sharing information, while EE is open and receptive, expressing a willingness to learn. As the conversation progresses, ER likely continues to provide details, maintaining an informative and possibly persuasive approach, while EE remains engaged and curious, indicating a positive dynamic focused on knowledge sharing."
P4G,20180719-120436_413_live,1,EE,train,Hello,Responding to the greeting,0.0,0,"The conversation is between two people, ER and EE. ER greets EE and asks if they have heard of the Save the Children charity. EE responds that they have not heard of it.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and introduces a topic related to charity, indicating a positive and engaging demeanor. Their ability to introduce a specific organization suggests a level of knowledge and competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely with a greeting, showing openness and friendliness. However, their admission of not knowing about the charity suggests a lower level of competence regarding the specific topic introduced by User1.","The conversation begins with a friendly greeting and quickly shifts to an informative tone as ER introduces a topic unfamiliar to EE. ER appears intent on sharing information, while EE is open and receptive, expressing a willingness to learn. As the conversation progresses, ER likely continues to provide details, maintaining an informative and possibly persuasive approach, while EE remains engaged and curious, indicating a positive dynamic focused on knowledge sharing."
P4G,20180719-120436_413_live,2,ER,train,Have you heard of the Save the Children charity?,Introducing the topic of the Save the Children charity,0.0,0,"The conversation is between two people, ER and EE. ER greets EE and asks if they have heard of the Save the Children charity. EE responds that they have not heard of it.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and introduces a topic related to charity, indicating a positive and engaging demeanor. Their ability to introduce a specific organization suggests a level of knowledge and competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely with a greeting, showing openness and friendliness. However, their admission of not knowing about the charity suggests a lower level of competence regarding the specific topic introduced by User1.","The conversation begins with a friendly greeting and quickly shifts to an informative tone as ER introduces a topic unfamiliar to EE. ER appears intent on sharing information, while EE is open and receptive, expressing a willingness to learn. As the conversation progresses, ER likely continues to provide details, maintaining an informative and possibly persuasive approach, while EE remains engaged and curious, indicating a positive dynamic focused on knowledge sharing."
P4G,20180719-120436_413_live,3,EE,train,I actually have not.,Expressing lack of knowledge about the charity,0.0,0,"The conversation is between two people, ER and EE. ER greets EE and asks if they have heard of the Save the Children charity. EE responds that they have not heard of it.","user1 (ER):
  warmth: high
  competence: high
  explanation: User1 initiates the conversation with a friendly greeting and introduces a topic related to charity, indicating a positive and engaging demeanor. Their ability to introduce a specific organization suggests a level of knowledge and competence.

user2 (EE):
  warmth: high
  competence: low
  explanation: User2 responds politely with a greeting, showing openness and friendliness. However, their admission of not knowing about the charity suggests a lower level of competence regarding the specific topic introduced by User1.","The conversation begins with a friendly greeting and quickly shifts to an informative tone as ER introduces a topic unfamiliar to EE. ER appears intent on sharing information, while EE is open and receptive, expressing a willingness to learn. As the conversation progresses, ER likely continues to provide details, maintaining an informative and possibly persuasive approach, while EE remains engaged and curious, indicating a positive dynamic focused on knowledge sharing."
P4G,20180719-122534_38_live,0,ER,train,It would be really helpful if you donated to Save the Children fund!,Requesting a donation to Save the Children fund,0.5,1,ER is encouraging EE to donate to the Save the Children fund. EE is inquiring about how the donation money will be used.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by encouraging charitable actions, indicating a caring and altruistic nature. Their competence is perceived as high due to their proactive approach in promoting a specific cause, suggesting knowledge and involvement.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE shows high warmth by expressing interest in understanding the impact of their potential donation, indicating a thoughtful and considerate attitude. Their competence is high as they seek detailed information, reflecting a responsible and informed decision-making process.","The conversation begins with ER making a direct appeal for a donation, indicating a persuasive and earnest intention. EE responds with curiosity and a desire for more information, suggesting an openness to the idea but requiring further details before committing. ER's strategy is to engage EE's interest and address their queries, aiming to build trust and encourage a positive response. The interaction is characterized by ER's persuasive efforts and EE's cautious consideration."
P4G,20180719-122534_38_live,1,EE,train,What does the money go towards if I donate?,Inquiring about the allocation of donated money,0.5,1,ER is encouraging EE to donate to the Save the Children fund. EE is inquiring about how the donation money will be used.,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by encouraging charitable actions, indicating a caring and altruistic nature. Their competence is perceived as high due to their proactive approach in promoting a specific cause, suggesting knowledge and involvement.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE shows high warmth by expressing interest in understanding the impact of their potential donation, indicating a thoughtful and considerate attitude. Their competence is high as they seek detailed information, reflecting a responsible and informed decision-making process.","The conversation begins with ER making a direct appeal for a donation, indicating a persuasive and earnest intention. EE responds with curiosity and a desire for more information, suggesting an openness to the idea but requiring further details before committing. ER's strategy is to engage EE's interest and address their queries, aiming to build trust and encourage a positive response. The interaction is characterized by ER's persuasive efforts and EE's cautious consideration."
P4G,20180719-165941_192_live,0,ER,valid,Hello,Greeting the other person,0.0,0,"The conversation involves ER initiating a discussion about the organization ""Save the Children"" with EE. ER inquires if EE has any children, possibly to engage them in a relevant context for the discussion. EE responds with a slightly sarcastic remark about ER taking their time before the conversation shifts to the topic of children.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER initiates the conversation politely and expresses interest in discussing a charitable cause, indicating a friendly and purposeful approach. This suggests both warmth and competence.

user2 (EE):
  warmth: low
  competence: low
  explanation: EE's response is curt and somewhat sarcastic, suggesting impatience or annoyance. This implies a lack of warmth. The lack of engagement or constructive response also suggests low competence in the context of the conversation.","The conversation begins with a somewhat sarcastic greeting from EE, indicating impatience or frustration. ER maintains a polite and focused approach, introducing the topic of Save the Children. ER's strategy is to engage EE by asking a personal question about having children, likely aiming to create a connection or relevance to the topic. EE's initial sentiment suggests reluctance, while ER remains persistent in steering the conversation toward their intended discussion."
