dataset,dialogue_id,utterance_idx,speaker,split,utterance,intention,donation_amount,donation_made,traditional_summary,scd_summary,scm_summary,binary_label,category
P4G,20180719-122534_38_live,0,ER,train,It would be really helpful if you donated to Save the Children fund!,Requesting a donation to Save the Children fund,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,1,EE,train,What does the money go towards if I donate?,Inquiring about the allocation of donated money,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,2,ER,train,"When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.",Explaining the organization's response during crises,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,3,ER,train,We ensure children's unique needs are met and their voices are heard.,Emphasizing the focus on children's needs and voices,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,4,ER,train,"We deliver lasting results for millions of children, including those hardest to reach.",Highlighting the impact and reach of their efforts,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,5,ER,train,We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.,Reinforcing the organization's commitment to children's futures,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,6,EE,train,Where in the world are the children located?,Asking about the geographical locations of the children helped,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,7,ER,train,"US and global, wherever children need help, they are there.",Clarifying that help is provided both in the US and globally,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,8,EE,train,"If I donate $25, does that go a long way?",Questioning the impact of a $25 donation,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
P4G,20180719-122534_38_live,9,ER,train,"Absolutely, a small amount of money for us turns out to be life changing for those in need.",Assuring that even small donations are impactful,0.5,1,"In this conversation, ER encourages EE to donate to the Save the Children fund, explaining that donations support vulnerable children globally, focusing on education and poverty alleviation. EE inquires about donation impacts, monthly contributions, and child sponsorship. ER confirms that even small donations are impactful, offers options for monthly donations, and explains that sponsors can receive updates and communicate with sponsored children. EE decides to donate $5 monthly.","The conversation begins with ER's enthusiastic appeal for donations, emphasizing the impact and reach of the organization. EE responds with curiosity, asking detailed questions about the allocation of funds and the specifics of the donation process. ER consistently provides informative and reassuring answers, maintaining a persuasive and positive tone. As the conversation progresses, EE's interest grows, leading to a commitment to donate. The interaction concludes with mutual appreciation and a sense of personal connection facilitated by the donation process.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER consistently demonstrates warmth through expressions of gratitude and encouragement, emphasizing the positive impact of donations. Their competence is high, as they provide clear, detailed information about the donation process, program specifics, and the benefits of contributions, effectively addressing EE's inquiries.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE displays warmth by expressing interest in the cause and a willingness to contribute. Their competence is high, as they ask relevant, detailed questions to understand the impact of their potential donation, showing thoughtful consideration and engagement with the information provided by ER.",0,expressed_donate_donated
