dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,0,worker,Hello,Initiate conversation
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,1,recruiter,Hello,Respond to greeting
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,2,worker,"I'm looker for a job at Amazon, do you have positions open?",Express desire to find a job at Amazon and inquire about open positions
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,3,recruiter,Why yes I do,Confirm availability of positions
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,4,recruiter,What kind of position are you qualified for?,Inquire about the worker's qualifications
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,5,worker,"Designer, and then engineer are the top 2",State qualifications for designer and engineer positions
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,6,worker,But manager and sales could work,Express openness to manager and sales positions
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,7,recruiter,we do have a designer position open,Inform about availability of a designer position
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,8,worker,"That would be great, do you positions in beijing or tokyo?",Express interest in the designer position and inquire about specific locations
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,9,recruiter,"no unfortunately, we are all staffed up in those two locations. I can offer you something in Seoul or Sydney however. Do you have a preference?",Inform about unavailability in requested locations and offer alternatives  seeking worker's preference
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,10,worker,"Seoul, but i'm going to need more weekly holidays",Express preference for Seoul and state a condition for more weekly holidays
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,11,worker,Is there anything you'd like to change in my proposal?,Seek feedback or counter-proposal from the recruiter
ji,8c9ff72e-1d6e-11e9-befa-6c96cfdf0295,12,recruiter,"Five is a little high, we would need someone a little more hands-on. How would this work? I have some wiggle room salary-wise if that would help",Express concern about the worker's condition  propose a compromise  and offer flexibility in salary
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,0,recruiter,hi,Initiate conversation
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,1,worker,hello,Respond to greeting
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,2,recruiter,amazon and google are hiring,Inform about job opportunities
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,3,recruiter,any interest there?,Inquire about worker's interest
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,4,worker,Manager at Amazon,Express interest in a specific position
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,5,recruiter,Sounds great,Acknowledge worker's interest
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,6,worker,in Tokyo nly,Specify location preference
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,7,worker,Tokyo Only,Reiterate location preference
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,8,recruiter,We can do higher pay in Bejing or Sydney,Offer alternative locations with higher pay
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,9,recruiter,but if its that important we can make Tokyo work,Show willingness to accommodate worker's preference
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,10,recruiter,Split the difference?,Propose a compromise
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,11,recruiter,32 and 4 days?,Make a specific offer
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,12,recruiter,Still not great for me but I can swing it,Express willingness to accommodate despite personal cost
ji,934493fa-1d6e-11e9-a17a-6c96cfdf0295,13,recruiter,I can't do 5 and 40. thats too much,Set a boundary on negotiation terms
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,0,recruiter,Hello,Initiate conversation
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,1,worker,hi,Respond to greeting
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,2,recruiter,You are concerned about more salary?,Clarify worker's concern about salary
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,3,worker,yes,Confirm concern about salary
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,4,worker,i was thinking 50/hr,Express desired salary rate
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,5,recruiter,"Okay, what do you have a figure in mind?",Seek clarification on worker's salary expectation
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,6,recruiter,Okay,Acknowledge worker's salary expectation
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,7,recruiter,That can be doable,Indicate possibility of meeting salary expectation
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,8,recruiter,Are there any other areas of concern for you?,Inquire about any other concerns
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,9,worker,weekly holiday 5 please,Express desire for a specific number of weekly holidays
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,10,worker,workplace sydney,Express preference for workplace location
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,11,worker,(I'm not positive I'm doing this correctly),Express uncertainty about the negotiation process
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,12,recruiter,"Me either lol...position and company is high, would you want to change that or keep it the same?",Express shared uncertainty and seek worker's preference on position and company
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,13,worker,change,Express desire to change position and company
ji,88ba5386-1d6e-11e9-862a-6c96cfdf0295,14,worker,apple manager,Specify desired position and company
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,0,recruiter,hi there,initiate conversation
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,1,worker,hello,acknowledge and reciprocate greeting
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,2,recruiter,ready to make a deal?,assess readiness to negotiate
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,3,worker,yes indeed,confirm readiness to negotiate
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,4,worker,let me see the options,request information on available options
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,5,recruiter,how does an engineer position at google sound?,propose a job opportunity
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,6,recruiter,in sydney,provide additional detail about the job location
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,7,worker,sales or engineer at Facebook or amazon is best,express preference for specific job roles and companies
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,8,recruiter,ok let me look,acknowledge request and agree to search for options
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,9,worker,which of those 4 work best for you? salary isnt very important.,seek recruiter's opinion on the best option among the given choices
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,10,recruiter,what do you think of that proposal,request feedback on the proposed options
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,11,worker,More holiday less pay,express preference for more vacation time over higher salary
ji,9020d9a4-1d6e-11e9-8509-6c96cfdf0295,12,worker,let me see a counter.,request a counteroffer
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,0,worker,hello,initiate conversation
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,1,worker,looking for work in either tokyo or seoul,express desire to find work in Tokyo or Seoul
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,2,recruiter,I can agree to Tokyo. Give me a moment to put together a proposal,agree to consider Tokyo and indicate intention to prepare a proposal
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,3,worker,ok take your time,express willingness to wait for the proposal
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,4,recruiter,Okay.,acknowledge the worker's patience
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,5,recruiter,"How does Manager at Facebook sound, making 25/hr with 3 days a week off?",propose a job offer with specific details
ji,93709b08-1d6e-11e9-977f-6c96cfdf0295,6,worker,my counter,indicate intention to negotiate or provide a counteroffer
ji,95462c86-1d6e-11e9-aedc-6c96cfdf0295,0,recruiter,Hi,Initiate conversation
