dataset,dialogue_id,utterance_idx,speaker,utterance,gpt-4o_speaker_intention,Salary,Position,Weekly holiday,Workplace,Company
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,0,worker,yea,expressing agreement or acknowledgment,35.0,Designer,4.0,Tokyo,Apple
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,1,worker,let me know what u got,requesting information or options from the recruiter,35.0,Designer,4.0,Tokyo,Apple
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,2,worker,im not about that bonus,indicating disinterest in receiving a bonus,35.0,Designer,4.0,Tokyo,Apple
ji,886d9792-1d6e-11e9-982d-6c96cfdf0295,3,worker,just pick something that we can both get paid,expressing a desire for a mutually beneficial outcome,35.0,Designer,4.0,Tokyo,Apple
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,0,worker,Hello,Initiate conversation,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,1,recruiter,Good morning!  What's important to you?,Inquire about worker's priorities,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,2,worker,Salary is first,Express priority on salary,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,3,recruiter,"OK, I'm glad to know that.  Was there a particular amount you wanted?",Seek specific salary expectation,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,4,worker,Let's start at 55k,Propose a starting salary amount,26.0,Manager,2.0,Tokyo,Amazon
ji,886eee12-1d6e-11e9-8f4b-6c96cfdf0295,5,recruiter,"OK, that works out to $26 per hour.  I can give you that if you can work as Amazon manager.  Can you?",Confirm salary offer and propose job role,26.0,Manager,2.0,Tokyo,Amazon
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,0,recruiter,hello,Initiate conversation,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,1,worker,Hi,Respond to greeting,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,2,recruiter,I have a position open as an engineer at google.,Inform about job opportunity,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,3,recruiter,are you interested?,Inquire about interest,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,4,worker,yes,Express interest,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,5,recruiter,The position is in Tokyo. It pays $35/hr and it is 4 days a week.,Provide job details,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,6,recruiter,Is this acceptable?,Seek confirmation on job details,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,7,worker,salaries is too low,Express dissatisfaction with salary,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,8,recruiter,Ok. We could bump it to $40/hr.,Offer a higher salary,47.0,Engineer,4.0,Beijing,Google
ji,88745ffa-1d6e-11e9-bc56-6c96cfdf0295,9,recruiter,Is this ok?,Seek confirmation on revised offer,47.0,Engineer,4.0,Beijing,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,0,recruiter,Hi there,Initiate conversation,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,1,recruiter,"I believe I have high importance in the company, but a low expected salary. I would like to start with a higher salary.",Express belief about their role and desire for a higher salary,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,2,recruiter,Are you avilable?,Inquire about worker's availability,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,3,worker,Hello.I propose a higher starting salary,Propose a higher starting salary,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,4,recruiter,What do you think you deserve?,Request worker's opinion on deserved salary,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,5,worker,Yes. I am available.,Confirm availability,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,6,worker,20% more pay.,State desired salary increase,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,7,recruiter,Why?,Request justification for salary demand,35.0,Engineer,4.0,Tokyo,Google
ji,88764180-1d6e-11e9-8a02-6c96cfdf0295,8,worker,Because of my extensive knowledge and experience.,Provide justification based on knowledge and experience,35.0,Engineer,4.0,Tokyo,Google
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,0,worker,hi,greet the recruiter,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,1,recruiter,hi,greet the worker,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,2,worker,how about salary 35,propose a salary of 35,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,3,recruiter,maybe 25?,negotiate a lower salary of 25,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,4,worker,what about 30,compromise by proposing a salary of 30,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,5,recruiter,too much,express that 30 is too high,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,6,worker,28,propose a salary of 28,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,7,recruiter,27?,negotiate a salary of 27,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,8,worker,ok will do 27,agree to the salary of 27,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,9,worker,4 weeks holiday,propose 4 weeks of holiday,27.0,Designer,3.0,Sydney,Facebook
ji,887b85f0-1d6e-11e9-ac64-6c96cfdf0295,10,recruiter,3 weeks,negotiate 3 weeks of holiday,27.0,Designer,3.0,Sydney,Facebook
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,0,worker,Hello,Initiate conversation,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,1,recruiter,Hello,Respond to greeting,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,2,worker,How are you doing?,Express interest in the recruiter's well-being,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,3,recruiter,"I am good, how are you?",Reciprocate interest in the worker's well-being,35.0,Engineer,4.0,Tokyo,Apple
ji,887ccae6-1d6e-11e9-8d9d-6c96cfdf0295,4,worker,"I'm doing pretty good as well, I am looking for an engineering job at Apple.",Share personal status and express desire for a job at Apple,35.0,Engineer,4.0,Tokyo,Apple
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,0,recruiter,hello,greet the worker,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,1,worker,Hi,respond to the greeting,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,2,worker,how about 40?,propose a salary of 40,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,3,recruiter,how about 45?,negotiate for a higher salary of 45,45.0,Designer,4.0,Tokyo,Facebook
ji,887d8062-1d6e-11e9-a735-6c96cfdf0295,4,worker,ok,agree to the proposed salary of 45,45.0,Designer,4.0,Tokyo,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,0,recruiter,Hello,To initiate the conversation,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,1,worker,hi!,To acknowledge the greeting and reciprocate,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,2,worker,I am looking for a job as an engineer,To express the desire to find a job as an engineer,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,3,recruiter,ok,To acknowledge the worker's job interest,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,4,recruiter,I can offer $35/hour,To propose an initial salary offer,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,5,recruiter,how does that sound?,To seek the worker's opinion on the salary offer,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,6,worker,are you willing to  offer 40?,To negotiate for a higher salary,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,7,recruiter,yes,To express willingness to negotiate,35.0,Engineer,3.0,Beijing,Facebook
ji,88812cee-1d6e-11e9-b3c1-6c96cfdf0295,8,recruiter,no how about $37,To counteroffer with a slightly higher salary,35.0,Engineer,3.0,Beijing,Facebook
ji,8882f5ec-1d6e-11e9-8051-6c96cfdf0295,0,worker,hi,greet the recruiter,35.0,Engineer,4.0,Tokyo,Google
