dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention,donation_amount,donation_made,scm_summary,traditional_summary,scd_summary
P4G,20180717-200206_41_live,0,ER,valid,"Hey, how are you doing, have you ever heard of a charity called Save the Children?",Initiate conversation and introduce the topic of a charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,1,EE,valid,No I havent.,Respond to the question and indicate lack of knowledge about the charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,2,EE,valid,What is it about?,Request more information about the charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,3,ER,valid,"It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?",Provide information about the charity and gauge interest,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,4,EE,valid,No thank you.,Decline interest in the charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,5,ER,valid,May I ask why?,Seek reasons for the lack of interest,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,6,ER,valid,"Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?",Attempt to persuade by emphasizing the impact of the help,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,7,EE,valid,I am already making a difference in many children lives.,State current involvement in helping children,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,8,ER,valid,"That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?",Acknowledge the effort and suggest contributing to the specific charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
P4G,20180717-200206_41_live,9,EE,valid,I have donated 15 years of my life to charity,Highlight past significant contributions to charity,0.5,1,"user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth by persistently engaging with EE in a caring and empathetic manner, attempting to persuade them to support a charitable cause. ER's competence is high, as they provide detailed information about the charity and articulate the potential impact of small donations, showing knowledge and persuasive skills.

user2 (EE):
  warmth: low
  competence: high
  explanation: EE's warmth is low, as they repeatedly decline ER's requests without expressing empathy or interest in the cause. However, EE's competence is high, as they articulate their own contributions to charity and critically assess the impact of small donations, indicating a thoughtful and informed perspective.","ER is trying to persuade EE to support the charity Save the Children, which aids children in developing countries. Despite ER's persistent efforts and explanations about the impact of small donations, EE declines, stating they have already contributed significantly to charitable causes and believes that systemic changes, rather than small donations, are needed to truly help these children.","The conversation begins with ER introducing a charity and attempting to persuade EE to support it. EE initially declines, citing personal contributions to charity. ER persists, employing emotional appeals and hypothetical scenarios to sway EE. Despite ER's continued efforts and varied strategies, including emphasizing collective impact, EE remains unconvinced and skeptical about the effectiveness of small donations. The interaction reflects ER's persistent persuasion against EE's firm stance and skepticism."
