dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,predicted_final_price,buyer_target,seller_target,sale_price,price_error,percent_error,within_range
C_0020dee073a945eb82a128f656cff94b,traditional,llama70b,False,"Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?
Buyer: Yes I am whats your bottom dollar on it?
Seller: At the store they're selling for 100 so not much lower.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$37, $75, [Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?
Buyer: Yes I am whats your bottom dollar on it?
Seller: At the store they're selling for 100 so not much lower.], [Summary: The buyer inquires about the availability and price of an SD card from the seller. The seller confirms it's available and mentions that the store price is $100, suggesting they won't go much lower.]>","assistant<|end_header_id|>

FINAL_PRICE: $56",56.0,37,75,37.0,19.0,50.0,1
C_004ae9e50f4a4e2d8822823056edaf1e,traditional,llama70b,False,"Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!
Buyer: What's the best price you can give me for it?
Seller: I am taking it out for $50. I can give it to you for $45. This costed me more than what I expected to be made. They're custom molded around the latch and the inside of the tailgate. The box is going to fit in most vehicles universally.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$25, $50, [Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!
Buyer: What's the best price you can give me for it?
Seller: I am taking it out for $50. I can give it to you for $45. This costed me more than what I expected to be made. They're custom molded around the latch and the inside of the tailgate. The box is going to fit in most vehicles universally.], [Summary: The buyer is interested in purchasing a sub box, and the seller offers it for $45, down from $50. The seller mentions the box is custom-molded and fits most vehicles universally.]>",FINAL_PRICE: $40,40.0,25,50,35.0,5.0,20.0,1
C_006f34c1a24348839c00beb7b1a00f31,traditional,llama70b,False,"Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?
Seller: Its like a regular gloves and in very good condition
Buyer: how much do they cost/","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$6, $10, [Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?
Seller: Its like a regular gloves and in very good condition
Buyer: how much do they cost/], [Summary: The buyer inquires about a product, specifically its details and condition. The seller responds that the product is similar to regular gloves and is in very good condition. The buyer then asks about the price.]>","assistant<|end_header_id|>

FINAL_PRICE: $8",8.0,6,10,8.0,0.0,0.0,1
C_0146a92afe234007a51fe1b4c7071ca1,traditional,llama70b,False,"Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?
Seller: I bought it two weeks ago but it just wasn't what I needed anymore.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$56, $80, [Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?
Seller: I bought it two weeks ago but it just wasn't what I needed anymore.], [Summary: The seller is offering a phone to the buyer, who shows interest. The seller mentions that they purchased the phone two weeks ago but found it unsuitable for their needs.]>","assistant<|end_header_id|>

FINAL_PRICE: $68",68.0,56,80,60.0,8.0,33.33333333333333,1
C_0150d45a7290453fa35102b4f2539918,traditional,llama70b,False,"Buyer: hello how we doing today
Seller: Hi there.
Seller: I'm okay and you?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$13, $15, [Buyer: hello how we doing today
Seller: Hi there.
Seller: I'm okay and you?], [Summary: The buyer greets the seller and asks how they are doing. The seller responds with a greeting, mentions they are okay, and inquires about the buyer's well-being.]>","assistant<|end_header_id|>

FINAL_PRICE: $14",14.0,13,15,13.0,1.0,50.0,1
C_0161690e2107455dbfce9c03ce19607e,traditional,llama70b,False,"Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great
Seller: Everything works as it should and has been serviced at regular intervals.  If you would like to have your own mechanic take a look I'd be open to that as well.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$19000, $25000, [Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great
Seller: Everything works as it should and has been serviced at regular intervals.  If you would like to have your own mechanic take a look I'd be open to that as well.], [Summary: The buyer inquired about a 2014 Dodge Charger with heated leather seats, asking if it had been inspected and was in good condition. The seller confirmed regular servicing and offered to let the buyer's mechanic inspect the car.]>","assistant<|end_header_id|>

FINAL_PRICE: $22000",22000.0,19000,25000,21000.0,1000.0,16.666666666666664,1
C_01ac7239fef54abeb05a1e23c26b93e5,traditional,llama70b,False,"Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.
Buyer: Okay. Do you know if Home Depot can still special order these cabinets?
Seller: Yes, they still carry the line so you should still be able to order them.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$48, $80, [Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.
Buyer: Okay. Do you know if Home Depot can still special order these cabinets?
Seller: Yes, they still carry the line so you should still be able to order them.], [Summary: The buyer is inquiring about cabinets listed by the seller, who confirms they are brand new and purchased three months ago. The seller assures the buyer that Home Depot still carries the line, so they can be special ordered if needed.]>","assistant<|end_header_id|>

FINAL_PRICE: $64",64.0,48,80,65.0,1.0,3.125,1
C_01e68ec46d114f53bdf6943d429cbb5e,traditional,llama70b,False,"Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?
Seller: I've had it for 6 months. It comes unlocked. The network is at@t
Buyer: So, it should work on any network that requires a SIM card, then, correct?  T-mobile for example?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$301, $397, [Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?
Seller: I've had it for 6 months. It comes unlocked. The network is at@t
Buyer: So, it should work on any network that requires a SIM card, then, correct?  T-mobile for example?], [Summary: The buyer is interested in purchasing a Galaxy phone from the seller. The seller mentions that the phone is six months old, unlocked, and originally from AT&T. The buyer confirms that it should work on any network requiring a SIM card, such as T-Mobile.]>","assistant<|end_header_id|>

FINAL_PRICE: $349",349.0,301,397,320.0,29.0,30.208333333333332,1
C_02dce7bcadcc42f087698f0e6bdcb5a0,traditional,llama70b,False,"Seller: Hello
Buyer: Hi! How's the flooring of the apartments?
Seller: The apartments are in great condition, I think you'll be pleased.
Buyer: What type is it though? Tile or Carpet?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$778, $1556, [Seller: Hello
Buyer: Hi! How's the flooring of the apartments?
Seller: The apartments are in great condition, I think you'll be pleased.
Buyer: What type is it though? Tile or Carpet?], [Summary: The buyer is inquiring about the type of flooring in the apartments, asking whether it is tile or carpet. The seller assures the buyer that the apartments are in great condition but has not yet specified the type of flooring.]>","assistant<|end_header_id|>

FINAL_PRICE: $1167",1167.0,778,1556,1350.0,183.0,23.52185089974293,1
C_02f9b9cfe382463ea5f6b6ecb689b1ec,traditional,llama70b,False,"Buyer: hi
Seller: Hey get this great car today before it is gone!
Buyer: it looks good, is it in good condition?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation], [summary]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10400, $20800, [Buyer: hi
Seller: Hey get this great car today before it is gone!
Buyer: it looks good, is it in good condition?], [Summary: The buyer is inquiring about a car the seller is promoting. The seller encourages the buyer to act quickly to secure the car, while the buyer asks about its condition.]>","assistant<|end_header_id|>

FINAL_PRICE: $15600",15600.0,10400,20800,15000.0,600.0,5.769230769230769,1
