dataset,dialogue_id,utterance_idx,speaker,split,utterance,intention,donation_amount,donation_made,traditional_summary,scd_summary,scm_summary,binary_label,category
P4G,20180719-120436_413_live,0,ER,train,Hi there,Greeting the other person,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,1,EE,train,Hello,Responding to the greeting,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,2,ER,train,Have you heard of the Save the Children charity?,Introducing the topic of the Save the Children charity,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,3,EE,train,I actually have not.,Expressing lack of knowledge about the charity,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,4,EE,train,What do they do to help children?,Inquiring about the charity's activities,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,5,ER,train,"It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.",Providing information about the charity's mission and activities,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,6,EE,train,I'm glad a charity like that exists internationally.,Expressing approval of the charity's existence,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,7,ER,train,It's for a great cause.,Affirming the value of the charity's cause,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,8,ER,train,Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.,Emphasizing the importance of helping children,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
P4G,20180719-120436_413_live,9,ER,train,Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.,Encouraging the idea of helping those in need,0.0,0,"The conversation revolves around the Save the Children charity, with ER explaining its mission to EE, who was previously unaware of it. ER emphasizes the importance of supporting children in need and suggests that even small donations can make a significant impact. EE agrees to donate $0.50, expressing a desire to help despite personal financial constraints. ER appreciates EE's contribution and acknowledges their situation.","The conversation begins with a neutral exchange of greetings, followed by ER introducing a charity to EE, who is unfamiliar with it. ER adopts an informative and empathetic tone, emphasizing the charity's importance and the impact of donations. EE responds positively, acknowledging the charity's value. ER then shifts to a persuasive strategy, encouraging EE to donate. EE agrees but sets a limit due to personal financial constraints. ER remains understanding and appreciative, concluding the conversation on a positive note.","user1 (ER):
  warmth: high
  competence: high
  explanation: ER demonstrates high warmth through empathetic and supportive language, expressing concern for children and appreciation for EE's willingness to donate. ER also shows high competence by providing clear information about the charity and guiding EE through the donation process effectively.

user2 (EE):
  warmth: high
  competence: high
  explanation: EE exhibits high warmth by expressing empathy for the children's plight and a willingness to help despite personal constraints. EE's competence is high, as they engage in the conversation with thoughtful questions and make a clear decision regarding their donation.",0,expressed_donate_did
