dialogue_id,final_prediction,final_label,final_confidence,fold_predictions,fold_confidences,vote_counts,ground_truth_label,ground_truth_name,has_ground_truth,stated_intention,actual_donation,inconsistency,correct_prediction
20180808-022005_838_live,0,expressed_donate_did,0.9827757358551026,[0],[np.float64(0.9827757358551026)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-063034_444_live,3,no_express_no_donate,0.9036427497863768,[3],[np.float64(0.9036427497863769)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180826-174957_757_live,1,expressed_donate_donated,0.9917915165424348,[1],[np.float64(0.9917915165424347)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180826-052222_969_live,1,expressed_donate_donated,0.9054661512374876,[1],[np.float64(0.9054661512374877)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-052501_689_live,3,no_express_no_donate,0.8467479348182678,[3],[np.float64(0.8467479348182678)],{3: 1},1,expressed_donate_donated,True,donate,True,False,False
20180825-044358_663_live,0,expressed_donate_did,0.7989182710647583,[0],[np.float64(0.7989182710647583)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180723-121545_265_live,0,expressed_donate_did,0.9378074288368226,[0],[np.float64(0.9378074288368226)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180827-004200_630_live,1,expressed_donate_donated,0.958869969844818,[1],[np.float64(0.9588699698448181)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180808-032124_114_live,1,expressed_donate_donated,0.8432344555854797,[1],[np.float64(0.8432344555854797)],{1: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180825-071727_819_live,1,expressed_donate_donated,0.9016355276107788,[1],[np.float64(0.9016355276107788)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-071459_643_live,1,expressed_donate_donated,0.9214094519615174,[1],[np.float64(0.9214094519615174)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180825-064001_264_live,1,expressed_donate_donated,0.9018406271934508,[1],[np.float64(0.9018406271934509)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180723-042421_113_live,0,expressed_donate_did,0.8276480793952942,[0],[np.float64(0.8276480793952942)],{0: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180826-181742_58_live,0,expressed_donate_did,0.922230327129364,[0],[np.float64(0.922230327129364)],{0: 1},5,unclear_no_donate,True,unclear,False,False,False
20180826-184708_183_live,1,expressed_donate_donated,0.9693209230899812,[1],[np.float64(0.9693209230899811)],{1: 1},5,unclear_no_donate,True,unclear,False,False,False
20180827-051440_378_live,0,expressed_donate_did,0.8332078695297241,[0],[np.float64(0.8332078695297241)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-050533_601_live,3,no_express_no_donate,0.8674628853797912,[3],[np.float64(0.8674628853797912)],{3: 1},3,no_express_no_donate,True,not_donate,False,False,True
20180723-061928_535_live,1,expressed_donate_donated,0.9076602220535278,[1],[np.float64(0.9076602220535278)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180719-211253_768_live,0,expressed_donate_did,0.8239021301269531,[0],[np.float64(0.8239021301269531)],{0: 1},4,unclear_donated,True,unclear,True,True,False
20180825-073629_433_live,0,expressed_donate_did,0.9381345510482788,[0],[np.float64(0.9381345510482788)],{0: 1},3,no_express_no_donate,True,not_donate,False,False,False
20180723-075339_567_live,0,expressed_donate_did,0.9402764916419984,[0],[np.float64(0.9402764916419983)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-061500_476_live,0,expressed_donate_did,0.9142293691635132,[0],[np.float64(0.9142293691635132)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-054028_444_live,1,expressed_donate_donated,0.8909829258918762,[1],[np.float64(0.8909829258918762)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180824-121026_498_live,0,expressed_donate_did,0.9365761876106262,[0],[np.float64(0.9365761876106262)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180826-072151_442_live,3,no_express_no_donate,0.7933083653450013,[3],[np.float64(0.7933083653450013)],{3: 1},1,expressed_donate_donated,True,donate,True,False,False
20180825-084657_775_live,0,expressed_donate_did,0.9191052913665771,[0],[np.float64(0.9191052913665771)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180825-085908_923_live,0,expressed_donate_did,0.9733884692192076,[0],[np.float64(0.9733884692192077)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-032041_562_live,0,expressed_donate_did,0.9379714012145997,[0],[np.float64(0.9379714012145997)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180903-145436_470_live,0,expressed_donate_did,0.933870792388916,[0],[np.float64(0.933870792388916)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
20180808-043445_804_live,1,expressed_donate_donated,0.9770355582237245,[1],[np.float64(0.9770355582237243)],{1: 1},1,expressed_donate_donated,True,donate,True,False,True
20180719-182453_233_live,0,expressed_donate_did,0.8065157532691956,[0],[np.float64(0.8065157532691956)],{0: 1},0,expressed_donate_did,True,donate,False,True,True
