dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,agent1_food_actual,agent1_food_pred,agent1_water_actual,agent1_water_pred,agent1_firewood_actual,agent1_firewood_pred,agent2_food_actual,agent2_food_pred,agent2_water_actual,agent2_water_pred,agent2_firewood_actual,agent2_firewood_pred,agent1_utility_pred,agent2_utility_pred,agent1_utility_actual,utility_mse,agent2_utility_actual,food_match,water_match,firewood_match,exact_match
0,none,llama70b,False,"Agent 1: Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?
Agent 2: Hey! I'd like some more firewood to keep my doggo warm. What do you need?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: firewood, Medium priority: food, Low priority: water
Agent 2: High priority: firewood, Medium priority: water, Low priority: food

Conversation:
Agent 1: Hello! 🙂 Let's work together on a deal for these packages, shall we? What are you most interested in?
Agent 2: Hey! I'd like some more firewood to keep my doggo warm. What do you need?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[2], water:[2], firewood:[1]}, agent2:{food:[1], water:[1], firewood:[2]}}",,,,,,,,,,,,,,,,,,0,0,0,0
1,none,llama70b,False,"Agent 2: Hello. How are you?
Agent 1: I am good. I am pretty excited for the trip this weekend. what about you?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: food, Medium priority: firewood, Low priority: water
Agent 2: High priority: food, Medium priority: firewood, Low priority: water

Conversation:
Agent 2: Hello. How are you?
Agent 1: I am good. I am pretty excited for the trip this weekend. what about you?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[2], water:[1], firewood:[1]}, agent2:{food:[1], water:[2], firewood:[2]}}",,,,,,,,,,,,,,,,,,0,0,0,0
2,none,llama70b,False,"Agent 2: Hey there!
Agent 1: Hi! How are you?! You excited for your camping trip??! I sure am ready to go on mine!","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: water, Medium priority: food, Low priority: firewood
Agent 2: High priority: water, Medium priority: firewood, Low priority: food

Conversation:
Agent 2: Hey there!
Agent 1: Hi! How are you?! You excited for your camping trip??! I sure am ready to go on mine!

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[1], water:[2], firewood:[0]}, agent2:{food:[2], water:[1], firewood:[3]}}",,,,,,,,,,,,,,,,,,0,0,0,0
3,none,llama70b,False,"Agent 2: Hi, I'd like 3 packages of food. I have diabetes and my blood sugar could drop.
Agent 1: oh dear, I am sorry to hear that my son is type one, I am okay with giving you all the food if you could give me all the firewood. I have hypothyroidism and it makes me get cold.","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: firewood, Medium priority: water, Low priority: food
Agent 2: High priority: food, Medium priority: water, Low priority: firewood

Conversation:
Agent 2: Hi, I'd like 3 packages of food. I have diabetes and my blood sugar could drop.
Agent 1: oh dear, I am sorry to hear that my son is type one, I am okay with giving you all the food if you could give me all the firewood. I have hypothyroidism and it makes me get cold.

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:0, water:1.5, firewood:3}, agent2:{food:3, water:1.5, firewood:0}}",,,,,,,,,,,,,,,,,,0,0,0,0
4,none,llama70b,False,"Agent 2: What are you most interested in getting?
Agent 1: I think food is my highest priority, What about you?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: food, Medium priority: firewood, Low priority: water
Agent 2: High priority: food, Medium priority: firewood, Low priority: water

Conversation:
Agent 2: What are you most interested in getting?
Agent 1: I think food is my highest priority, What about you?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[2], water:[1], firewood:[1]}, agent2:{food:[1], water:[2], firewood:[2]}}",,,,,,,,,,,,,,,,,,0,0,0,0
5,none,llama70b,False,"Agent 1: Hello, what are your preferences for extra supplies?  I am greatly in need of food and water.  We will be doing a lot of activity in a hot, dry climate.🙂
Agent 2: I prefer firewood because I will get cold at night. I forgot blankets ☹️","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: food, Medium priority: water, Low priority: firewood
Agent 2: High priority: firewood, Medium priority: food, Low priority: water

Conversation:
Agent 1: Hello, what are your preferences for extra supplies?  I am greatly in need of food and water.  We will be doing a lot of activity in a hot, dry climate.🙂
Agent 2: I prefer firewood because I will get cold at night. I forgot blankets ☹️

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[2], water:[2], firewood:[0]}, agent2:{food:[1], water:[1], firewood:[3]}}",,,,,,,,,,,,,,,,,,0,0,0,0
6,none,llama70b,False,"Agent 2: Hi, are you excited for the camping trip?
Agent 1: Hello! I am very excited!🙂 How about you?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: firewood, Medium priority: food, Low priority: water
Agent 2: High priority: food, Medium priority: firewood, Low priority: water

Conversation:
Agent 2: Hi, are you excited for the camping trip?
Agent 1: Hello! I am very excited!🙂 How about you?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:1, water:1, firewood:2}, agent2:{food:2, water:2, firewood:1}}",0.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,17.0,20.0,18.0,1.0,21.0,0,1,0,0
7,none,llama70b,False,"Agent 2: Hello!
Agent 1: Hello, how are you doing today?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: water, Medium priority: firewood, Low priority: food
Agent 2: High priority: food, Medium priority: water, Low priority: firewood

Conversation:
Agent 2: Hello!
Agent 1: Hello, how are you doing today?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[0], water:[2], firewood:[1]}, agent2:{food:[3], water:[1], firewood:[2]}}",,,,,,,,,,,,,,,,,,0,0,0,0
8,none,llama70b,False,"Agent 2: How are you today? Did you have any preferences on the supplies we will be trading?
Agent 1: I am good. How about yourself? I think I would like some firewood to start off with. We like to have bigger fires. What about you?","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: food, Medium priority: firewood, Low priority: water
Agent 2: High priority: water, Medium priority: food, Low priority: firewood

Conversation:
Agent 2: How are you today? Did you have any preferences on the supplies we will be trading?
Agent 1: I am good. How about yourself? I think I would like some firewood to start off with. We like to have bigger fires. What about you?

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:[2], water:[0], firewood:[2]}, agent2:{food:[1], water:[3], firewood:[1]}}",,,,,,,,,,,,,,,,,,0,0,0,0
9,none,llama70b,False,"Agent 2: Hello, how are you today? 🙂
Agent 1: good, how are you 🙂","You are helping analyze a negotiation conversation where two agents are discussing the allocation of resources. Each resource has exactly three units that must be divided between the two agents. The total amount of each resource allocated to both agents must add up to three. 

Agent Preferences:
Agent 1: High priority: firewood, Medium priority: food, Low priority: water
Agent 2: High priority: food, Medium priority: firewood, Low priority: water

Conversation:
Agent 2: Hello, how are you today? 🙂
Agent 1: good, how are you 🙂

Based on this negotiation, predict the final allocation of resources. Provide only your answer using the following format with curly braces, with no explanation:

OUTCOME: {agent1:{food:[number], water:[number], firewood:[number]}, agent2:{food:[number], water:[number], firewood:[number]}}

Remember: Each resource must sum to exactly 3 units across both agents.","assistant<|end_header_id|>

OUTCOME: {agent1:{food:1, water:2, firewood:2}, agent2:{food:2, water:1, firewood:1}}",1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,20.0,17.0,17.0,9.0,20.0,1,0,1,0
