dataset,dialogue_id,utterance_idx,speaker,split,utterance,gpt-4o_intention
casino,506,0,mturk_agent_2,valid,"Hello, How are you? My children love to eat and have fires daily. I hope this deal works for you.🙂",Initiate conversation and express hope for a mutually beneficial deal
casino,506,1,mturk_agent_1,valid,"Hello, I'm fine. I understand your need. I have health issue I can't stand without food and water.I hope you will understand my situation.",Respond to greeting and explain personal need for food and water
casino,506,2,mturk_agent_2,valid,I completely understand where you are coming from. How much food do you need?,Show understanding and inquire about specific needs
casino,506,3,mturk_agent_1,valid,I need at least 2 package of food and 3 package of water. Please do favor for me.,Specify the amount of food and water needed and request assistance
casino,506,4,mturk_agent_2,valid,"I have young teenagers who eat and drink like crazy. I will need atleast 1 package of water, I may be able to work on the food. What do you think?",Explain own family needs and propose a potential compromise
casino,506,5,mturk_agent_1,valid,I can also understand your family situation. I'll give 1 package of water.🙂,Acknowledge the other's situation and agree to share water
casino,506,6,mturk_agent_2,valid,That works for me.🙂 Are you able to share the food if I give you 1 firewood?,Agree to the proposal and inquire about sharing food in exchange for firewood
casino,506,7,mturk_agent_1,valid,"I think our dealing is going good. You take all the firewood.As I already said, I have some health issue.  Can you help me with the food?",Express satisfaction with the deal and reiterate need for food due to health issues
casino,506,8,mturk_agent_2,valid,Sounds good I will give you the 2 packages of food.🙂,Agree to provide the requested food
casino,506,9,mturk_agent_1,valid,So nice of you !!  Now can you summarize your needs?,Express gratitude and request a summary of the other's needs
casino,506,10,mturk_agent_2,valid,I will need 3 packages of firewood. 1 package of food and 1 package of water. What are your needs?,Summarize own needs and ask for the other's needs
casino,506,11,mturk_agent_1,valid,"Yes, you are absolutely right. Thank you very much !! I'll take 2 package of food and 2 package of water .",Confirm the summary and express gratitude  stating own needs
casino,445,0,mturk_agent_2,valid,"Hello! camper, how are you? I need us to make a deal where we all benefit.I'm so excited for our camping trip.  I'm most excited about getting to eat food that I normally don't when I am home.🙂",Initiate conversation and express excitement about the camping trip.
casino,445,1,mturk_agent_1,valid,I am excited too and looking forward to making a deal that works well for both of us!,Express mutual excitement and willingness to make a beneficial deal.
casino,445,2,mturk_agent_2,valid,"My main objective for the camp is water, since I have a large family and the amount of water they give in the camp is very small for all my family.",State main objective and emphasize the need for water due to a large family.
casino,445,3,mturk_agent_1,valid,I need water also but firewood is my second highest priority item. Maybe you could take more of the water and I could take more of the firewood.,Express own needs and propose a potential trade-off between water and firewood.
casino,445,4,mturk_agent_2,valid,"I find it a good deal, however before making a deal, I like to talk to people, get to know them better. I plan to go to camp with my family: my wife, my four children and myself. Are you going with your family?",Agree to the deal in principle but express a desire to get to know the other party better.
casino,445,5,mturk_agent_1,valid,"Yes, I am going with my wife and two teenage sons. We are planning on doing a lot of fishing!",Share personal information about family and plans for the camping trip.
casino,445,6,mturk_agent_2,valid,What do you think if in the camp we get together and have a meeting between your family and mine? We can have a small party to get to know each other better.,Propose a social gathering to strengthen the relationship between families.
casino,445,7,mturk_agent_1,valid,Sounds great!,Agree to the proposed social gathering.
casino,445,8,mturk_agent_2,valid,"Ok, my proposal is to give you all the firewood you need, on the condition that you give me all the water I need. And regarding food we can negotiate.",Make a specific trade proposal involving firewood and water  and suggest further negotiation on food.
casino,445,9,mturk_agent_1,valid,That sounds good. What do you propose on the food?,Express openness to the trade proposal and request specifics on the food negotiation.
casino,445,10,mturk_agent_2,valid,"My proposal is to give you 3 firewood, 2 food and 0 water. What do you think of the deal?",Provide a detailed trade proposal including quantities of firewood  food  and water.
casino,147,0,mturk_agent_2,valid,Hello my friend! Are you ready to go camping?,Greeting and initiating conversation about camping
casino,147,1,mturk_agent_1,valid,"Getting there, just need some more supplies to be safe.",Expressing readiness but indicating the need for more supplies
casino,147,2,mturk_agent_2,valid,Got you! I really need firewood to make smores and I don't think we have enough to last the whole night!,Expressing a specific need for firewood and concern about its sufficiency
casino,147,3,mturk_agent_1,valid,I was hoping to pick up a lot of wood. It has rained around here and the wood is soggy in the forest.,Explaining the intention to gather wood and the challenge due to rain
casino,147,4,mturk_agent_2,valid,Which item do you prefer the most?,Inquiring about the other person's preference
casino,147,5,mturk_agent_1,valid,I know how to filter water so you can have all of the water. I would like as much firewood as possible.,Offering to give all water in exchange for firewood
casino,147,6,mturk_agent_2,valid,me too. I don't care about water since we are camping near a river.,Agreeing on the importance of firewood and dismissing the need for water
casino,147,7,mturk_agent_1,valid,I would consider giving you all food and water if I could get all of the wood.,Proposing a trade of all food and water for all firewood
casino,147,8,mturk_agent_2,valid,Oh really? I think I am able to do it without firewood then. The kids will be full and probably won't ask for smores,Considering the trade and expressing flexibility
casino,147,9,mturk_agent_1,valid,Or 1 wood for you and 2 of food and water?,Proposing an alternative trade arrangement
casino,147,10,mturk_agent_2,valid,"I am fine with that as well. So I get  wood, 2 water and 2 food?",Agreeing to the proposed trade arrangement
casino,572,0,mturk_agent_2,valid,"Hi,",Initiate conversation
casino,572,1,mturk_agent_1,valid,Hello. What sort of supplies are you looking for?,Inquire about needs
casino,572,2,mturk_agent_2,valid,"Well, I really dislike camping  :( and am looking to make the trip as comforting as possible.  I would like to gather 2 food, 2 firewood and 2 water please.",Express discomfort and state specific needs
casino,572,3,mturk_agent_1,valid,I need a lot of food and I get cold easily. What is your top priority?,Express own needs and ask for prioritization
casino,572,4,mturk_agent_2,valid,"Food is comforting to me so I would like to have plenty of food on hand to eat during this dreadful trip.  I will need plenty of fire wood to cook it, but am not as worried about the water.",Clarify priorities and justify needs
casino,572,5,mturk_agent_1,valid,I need a lot of food as well but I'm willing to sacrifice it if I get all the firewood and water.,State willingness to negotiate and propose a trade-off
casino,572,6,mturk_agent_2,valid,Thank you.  WOuld you be willing to give me all the food?  I would give you all the water and 2 firewood.,Express gratitude and propose a specific trade
casino,572,7,mturk_agent_1,valid,I can give you all the food and 1 water. I get all firewood and 2 water.,Counter-propose a different trade
casino,572,8,mturk_agent_2,valid,I need at least one firewood to cook my food.  Can you give me one firewood for all the water?,Negotiate for essential item (firewood)
casino,572,9,mturk_agent_1,valid,I'm sorry. I won't be able to do that.,Decline the request
casino,572,10,mturk_agent_2,valid,"SO you will give me 3 food, no firewood and 2 water?",Clarify the terms of the trade
casino,572,11,mturk_agent_1,valid,"Because I get cold easily and need water for cleaning, my final offer is 3 food/1 water for you and 3 firewood/2 water for me. Because I'm not getting any food, anything less, I cannot do.",Justify final offer and set terms
casino,431,0,mturk_agent_2,valid,Hello there,Initiate conversation
casino,431,1,mturk_agent_1,valid,Hello,Acknowledge greeting
casino,431,2,mturk_agent_2,valid,What kind of items do you need?  I especially need water because I would like to do extra hiking and would need to hydrate.,Inquire about needs and express personal need for water
casino,431,3,mturk_agent_1,valid,"I need all three, but need food the most",State needs with emphasis on food
casino,431,4,mturk_agent_2,valid,I would give you all of the additional food if you gave me all of the additional water.,Propose a trade of food for water
casino,431,5,mturk_agent_1,valid,That sounds like a deal,Accept the trade proposal
casino,431,6,mturk_agent_2,valid,Shall we divide the firewood two to one?,Propose division of firewood
casino,431,7,mturk_agent_1,valid,sure as long as I am getting two wood.   It gets very cold at night where I go camping,Agree to the proposal with a condition
casino,431,8,mturk_agent_2,valid,"Sure, since you were so willing to accommodate my need for water, I would be happy to oblige.",Agree to the condition and express willingness to help
casino,431,9,mturk_agent_1,valid,"Thanks, these extra supplies will really help me",Express gratitude and acknowledge the benefit of extra supplies
casino,157,0,mturk_agent_1,valid,Hello there! Are you getting excited for your upcoming trip?! I am so very excited to test my skills!,Initiate conversation and express excitement about the trip
casino,157,1,mturk_agent_2,valid,Hi friend! I'm very excited to go to the trip,Respond to greeting and share excitement about the trip
casino,157,2,mturk_agent_1,valid,Great! Have you checked to see what the weather has been like in the area you are going to??,Inquire about weather preparations for the trip
casino,157,3,mturk_agent_2,valid,Definitely I will checked. I m eager to prepare each & every things for the trip,Confirm intention to check weather and express eagerness to prepare
