dialogue_id,summary_type,model_type,include_intentions,conversation,prompt,response,predicted_final_price,buyer_target,seller_target,sale_price,price_error,percent_error,within_range
C_0020dee073a945eb82a128f656cff94b,none,llama70b,False,"Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$37, $75, [Buyer: Hello, do you still have the SD card
Seller: I do, are you interested in it?]>","assistant<|end_header_id|>

FINAL_PRICE: $56",56.0,37,75,37.0,19.0,50.0,1
C_004ae9e50f4a4e2d8822823056edaf1e,none,llama70b,False,"Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$25, $50, [Seller: Hello how can I help you?
Buyer: I'm interested in purchasing the sub box.
Seller: Sure!]>","assistant<|end_header_id|>

FINAL_PRICE: $37.50",37.5,25,50,35.0,2.5,10.0,1
C_006f34c1a24348839c00beb7b1a00f31,none,llama70b,False,"Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$6, $10, [Seller: Hello there
Buyer: hi
Seller: What would you like to know about the product>
Buyer: any details andits condition?]>","assistant<|end_header_id|>

FINAL_PRICE: $8",8.0,6,10,8.0,0.0,0.0,1
C_0146a92afe234007a51fe1b4c7071ca1,none,llama70b,False,"Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$56, $80, [Seller: I have a wonderful phone for you if you are interested.
Buyer: I am interested. Did you just buy it?]>","assistant<|end_header_id|>

FINAL_PRICE: $68",68.0,56,80,60.0,8.0,33.33333333333333,1
C_0150d45a7290453fa35102b4f2539918,none,llama70b,False,"Buyer: hello how we doing today
Seller: Hi there.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$13, $15, [Buyer: hello how we doing today
Seller: Hi there.]>","assistant<|end_header_id|>

FINAL_PRICE: $14",14.0,13,15,13.0,1.0,50.0,1
C_0161690e2107455dbfce9c03ce19607e,none,llama70b,False,"Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$19000, $25000, [Seller: Hi - are you interested in my car?
Buyer: Hello i saw your post for your 2014 dodge charger featurig heated leather seats. I'm curious as if it's been insepected and if everything is running great]>","assistant<|end_header_id|>

FINAL_PRICE: $22000",22000.0,19000,25000,21000.0,1000.0,16.666666666666664,1
C_01ac7239fef54abeb05a1e23c26b93e5,none,llama70b,False,"Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$48, $80, [Buyer: Hello, I am interested in the cabinets you have listed.
Seller: Hi, the cabinets are brand new and unopened - they're great, but just don't fit in my kitchen.
Buyer: How long have you had them?
Seller: I bought them about 3 months ago, and still have the receipts.]>","assistant<|end_header_id|>

FINAL_PRICE: $64",64.0,48,80,65.0,1.0,3.125,1
C_01e68ec46d114f53bdf6943d429cbb5e,none,llama70b,False,"Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$301, $397, [Seller: Are you interested in  My galaxy
Buyer: Yes, it looks like a great phone.  Can you tell me a little about its history?]>","assistant<|end_header_id|>

FINAL_PRICE: $349",349.0,301,397,320.0,29.0,30.208333333333332,1
C_02dce7bcadcc42f087698f0e6bdcb5a0,none,llama70b,False,"Seller: Hello
Buyer: Hi! How's the flooring of the apartments?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$778, $1556, [Seller: Hello
Buyer: Hi! How's the flooring of the apartments?]>","assistant<|end_header_id|>

FINAL_PRICE: $1167",1167.0,778,1556,1350.0,183.0,23.52185089974293,1
C_02f9b9cfe382463ea5f6b6ecb689b1ec,none,llama70b,False,"Buyer: hi
Seller: Hey get this great car today before it is gone!","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10400, $20800, [Buyer: hi
Seller: Hey get this great car today before it is gone!]>","assistant<|end_header_id|>

FINAL_PRICE: $15600",15600.0,10400,20800,15000.0,600.0,5.769230769230769,1
C_033934a5cb6b4bcb94a4202525cd3126,none,llama70b,False,"Buyer: whoa glitchy system
Seller: Hi, are you interested in the bike?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$90, $180, [Buyer: whoa glitchy system
Seller: Hi, are you interested in the bike?]>","assistant<|end_header_id|>

FINAL_PRICE: $135",135.0,90,180,110.0,25.0,27.77777777777778,1
C_047ef173d910432aae9556c595444a0d,none,llama70b,False,"Seller: hi there
Buyer: I'm moving to the bay area is West Oakland a good neighborhood?
Buyer: Hi, I'm moving to the bay area is West Oakland a good neighborhood?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$1077, $1795, [Seller: hi there
Buyer: I'm moving to the bay area is West Oakland a good neighborhood?
Buyer: Hi, I'm moving to the bay area is West Oakland a good neighborhood?]>","assistant<|end_header_id|>

FINAL_PRICE: $1436",1436.0,1077,1795,1650.0,214.0,29.805013927576603,1
C_04cf7e9ff180493193f48870eedf3531,none,llama70b,False,"Buyer: Hi do you still have the SD card
Seller: HI are you interested in my sd card it is in great conditon 64gb and I am asking $20","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10, $20, [Buyer: Hi do you still have the SD card
Seller: HI are you interested in my sd card it is in great conditon 64gb and I am asking $20]>","assistant<|end_header_id|>

FINAL_PRICE: $15",15.0,10,20,13.0,2.0,20.0,1
C_04e41aa41dd14aab9ddb5a26dda40f7c,none,llama70b,False,"Seller: Hi
Buyer: hi
Seller: I'm asking $90 for the square speaker.","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$10, $20, [Seller: Hi
Buyer: hi
Seller: I'm asking $90 for the square speaker.]>","assistant<|end_header_id|>

FINAL_PRICE: $15",15.0,10,20,17.0,2.0,20.0,1
C_05801cc30bfb40299539dbe518ee2cd7,none,llama70b,False,"Buyer: Hello I am interested in your vehicle. What kind of amenties does it have?
Seller: very well kept and only has 32k miles very clean interior and drives like a champ, i'm pretty firm on price but could also be flirted with a great deal","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$9880, $13000, [Buyer: Hello I am interested in your vehicle. What kind of amenties does it have?
Seller: very well kept and only has 32k miles very clean interior and drives like a champ, i'm pretty firm on price but could also be flirted with a great deal]>","assistant<|end_header_id|>

FINAL_PRICE: $11490",11490.0,9880,13000,10000.0,1490.0,47.756410256410255,1
C_06250c20debf404a95221088dbe85c73,none,llama70b,False,"Seller: Hey looking for a new bed
Buyer: i am
Seller: Well this set would be perfect for you or your teenage daughter. Any questions","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$114, $150, [Seller: Hey looking for a new bed
Buyer: i am
Seller: Well this set would be perfect for you or your teenage daughter. Any questions]>","assistant<|end_header_id|>

FINAL_PRICE: $132",132.0,114,150,130.0,2.0,5.555555555555555,1
C_06d94f0c5f1f4ec58ba047789b7f8bba,none,llama70b,False,"Seller: HI! How are you?
Buyer: I'm well and you?
Seller: Great!  Are you interested in one of our 1 bedrooms?
Buyer: Yes, may I ask what the amenities are at this location?","Analyze this negotiation, given in the format <buyer target, seller target, [negotiation]> and predict the projected sale price that lies between the buyer and seller targets. Provide only the final answer in the format 'FINAL_PRICE: [number]'
INPUT: <$2065, $2950, [Seller: HI! How are you?
Buyer: I'm well and you?
Seller: Great!  Are you interested in one of our 1 bedrooms?
Buyer: Yes, may I ask what the amenities are at this location?]>","assistant<|end_header_id|>

FINAL_PRICE: $2507.50",2507.5,2065,2950,2950.0,442.5,50.0,1
